,L,T,Tmax,alpha,beta,clamp,conv_condition,conv_steps,conv_time,ctol_abs,ctol_rel,ht,ht_x,hx,hy_t,ixt,ixy,iyt,p0,ptol,repeat,repeats,zeroLtol
60,-4.282898568545038,3.0,90.0,0.1,5.1597803519999985,True,small_abs_changes,10.0,17.152101039886475,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
61,-3.5942657561201715e-17,1.0,90.0,0.2,0.1615055828898458,False,single_cluster,5.0,20.38981795310974,0.001,0.0,-3.2034265038149176e-16,1.2457769737058012e-17,6.491853096329676,10.243506705482462,-3.328004201185498e-16,1.2764277255147896,-1.7763568394002505e-15,0.75,1e-08,0.0,1.0,1.0
62,-3.345110361379013e-17,1.0,90.0,0.2,0.1615055828898458,True,single_cluster,6.0,20.393354892730713,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,0.75,1e-08,0.0,1.0,1.0
63,2.392720573975016e-17,1.0,90.0,0.2,0.19380669946781492,False,small_abs_changes_AND_single_cluster,6.0,20.005321979522705,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,0.75,1e-08,0.0,1.0,1.0
64,2.392720573975016e-17,1.0,90.0,0.2,0.19380669946781492,True,small_abs_changes_AND_single_cluster,7.0,20.00834012031555,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,0.75,1e-08,0.0,1.0,1.0
65,9.278117696399853e-17,1.0,90.0,0.2,0.2325680393613779,False,single_cluster,8.0,21.106950998306274,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,0.75,1e-08,0.0,1.0,1.0
66,9.278117696399853e-17,1.0,90.0,0.2,0.2325680393613779,True,single_cluster,9.0,21.109949111938477,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,0.75,1e-08,0.0,1.0,1.0
67,1.7540594243309657e-16,1.0,90.0,0.2,0.2790816472336535,False,single_cluster,9.0,22.118505001068115,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,0.75,1e-08,0.0,1.0,1.0
68,1.7540594243309657e-16,1.0,90.0,0.2,0.2790816472336535,True,single_cluster,10.0,22.121498823165894,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,0.75,1e-08,0.0,1.0,1.0
69,0.0,1.0,90.0,0.2,0.3348979766803842,False,single_cluster,10.0,21.386227130889893,0.001,0.0,0.0,0.0,6.491853096329676,10.24350670548246,0.0,1.2764277255147896,0.0,0.75,1e-08,0.0,1.0,1.0
70,0.0,1.0,90.0,0.2,0.3348979766803842,True,single_cluster,11.0,21.389228105545044,0.001,0.0,0.0,0.0,6.491853096329676,10.24350670548246,0.0,1.2764277255147896,0.0,0.75,1e-08,0.0,1.0,1.0
71,0.6391898293770311,2.0,90.0,0.2,0.40187757201646096,False,small_abs_changes,8.0,20.964258909225464,0.001,0.0,0.9159814354744896,0.014841734108418844,6.491853096329676,9.562146812961364,0.9011397013660708,1.2764277255147896,0.6813598925210957,0.75,1e-08,0.0,1.0,1.0
72,0.6412431424698759,2.0,90.0,0.2,0.40187757201646096,True,small_abs_changes,9.0,20.96781301498413,0.001,0.0,0.9182958340544896,0.0,6.491853096329676,9.554110951958634,0.9182958340544896,1.2764277255147896,0.6893957535238258,0.75,1e-08,0.0,1.0,1.0
73,0.0,1.0,90.0,0.2,0.4822530864197532,False,small_abs_changes_AND_cost_func_rel_inc_AND_force_single,8.0,21.478683948516846,0.001,0.0,0.0,0.0,6.491853096329676,10.24350670548246,0.0,1.2764277255147896,0.0,0.75,1e-08,0.0,1.0,1.0
74,0.0,1.0,90.0,0.2,0.4822530864197532,True,small_abs_changes_AND_cost_func_rel_inc_AND_force_single,9.0,21.48165202140808,0.001,0.0,0.0,0.0,6.491853096329676,10.24350670548246,0.0,1.2764277255147896,0.0,0.75,1e-08,0.0,1.0,1.0
75,0.926763092862447,3.0,90.0,0.2,0.5787037037037037,False,small_abs_changes,6.0,20.89357304573059,0.001,0.0,1.5849624962122557,0.0010124643061390826,6.491853096329676,9.106488044158192,1.5839500319061166,1.2764277255147896,1.1370186613242677,0.75,1e-08,0.0,1.0,1.0
76,0.926842832451385,3.0,90.0,0.2,0.5787037037037037,True,small_abs_changes,7.0,20.8977210521698,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
77,0.795196349362235,3.0,90.0,0.2,0.6944444444444445,False,small_abs_changes,9.0,21.937336921691895,0.001,0.0,1.5849625000956777,0.00029169090681914955,6.491853096329676,9.106327455407467,1.5846708091888586,1.2764277255147896,1.1371792500749933,0.75,1e-08,0.0,1.0,1.0
78,0.7952188987974308,3.0,90.0,0.2,0.6944444444444445,True,small_abs_changes,10.0,21.94135594367981,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
79,0.6372646381124689,3.0,90.0,0.2,0.8333333333333334,False,small_abs_changes,6.0,20.138540983200073,0.001,0.0,1.5849625006678352,7.324050093439077e-05,6.491853096329676,9.106286848136245,1.5848892601669007,1.2764277255147896,1.1372198573462153,0.75,1e-08,0.0,1.0,1.0
80,0.6372701784126857,3.0,90.0,0.2,0.8333333333333334,True,small_abs_changes,7.0,20.142455101013184,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
81,0.4477305943353749,3.0,90.0,0.2,1.0,False,small_abs_changes,6.0,19.779403924942017,0.001,0.0,1.5849625007186425,1.5143405475154069e-05,6.491853096329676,9.106277827780287,1.5849473573131674,1.2764277255147896,1.1372288777021726,0.75,1e-08,0.0,1.0,1.0
82,0.44773171395099176,3.0,90.0,0.2,1.0,True,small_abs_changes,7.0,19.783365726470947,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
83,0.22028538152268484,3.0,90.0,0.2,1.2,False,small_abs_changes_AND_cost_func_rel_inc,7.0,21.814186096191406,0.001,0.0,1.5849625007210955,2.4236713712654383e-06,6.491853096329676,9.106276176762346,1.5849600770497243,1.2764277255147896,1.1372305287201137,0.75,1e-08,0.0,1.0,1.0
84,0.22028555659695903,3.0,90.0,0.2,1.2,True,small_abs_changes_AND_cost_func_rel_inc,8.0,21.818125009536743,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
85,-0.05264985174342329,3.0,90.0,0.2,1.44,False,small_abs_changes,6.0,20.686191082000732,0.001,0.0,1.5849625007211556,2.760425201637593e-07,6.491853096329676,9.106275943499075,1.5849622246786355,1.2764277255147896,1.1372307619833855,0.75,1e-08,0.0,1.0,1.0
86,-0.052649832227880555,3.0,90.0,0.2,1.44,True,small_abs_changes,7.0,20.69024395942688,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
87,-0.3801723002436401,3.0,90.0,0.2,1.7279999999999998,False,small_abs_changes,6.0,20.463476181030273,0.001,0.0,1.584962500721156,2.058012286563683e-08,6.491853096329676,9.10627592026905,1.5849624801410331,1.2764277255147896,1.1372307852134096,0.75,1e-08,0.0,1.0,1.0
88,-0.38017229881768766,3.0,90.0,0.2,1.7279999999999998,True,small_abs_changes,7.0,20.46749520301819,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
89,-0.7731992587869163,3.0,90.0,0.2,2.0736,False,small_abs_changes,6.0,20.471112966537476,0.001,0.0,1.5849625007211563,9.03171899513766e-10,6.491853096329676,9.106275918769768,1.5849624998179843,1.2764277255147896,1.137230786712692,0.75,1e-08,0.0,1.0,1.0
90,-0.7731992587254566,3.0,90.0,0.2,2.0736,True,small_abs_changes,7.0,20.475570917129517,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
91,-1.2448316106161683,3.0,90.0,0.2,2.4883199999999994,False,small_abs_changes,6.0,20.527907848358154,0.001,0.0,1.584962500721156,2.0717262383587606e-11,6.491853096329676,9.106275918713402,1.5849625007004389,1.2764277255147896,1.1372307867690576,0.75,1e-08,0.0,1.0,1.0
92,-1.2448316106147783,3.0,90.0,0.2,2.4883199999999994,True,small_abs_changes,7.0,20.531983852386475,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
93,-1.8107904328819777,3.0,90.0,0.2,2.9859839999999993,False,small_abs_changes_AND_cost_func_rel_inc,7.0,20.5016450881958,0.001,0.0,1.5849625007211565,2.2164959474895093e-13,6.491853096329676,9.106275918712306,1.584962500720935,1.2764277255147896,1.1372307867701537,0.75,1e-08,0.0,1.0,1.0
94,-1.8107904328819653,3.0,90.0,0.2,2.9859839999999993,True,small_abs_changes_AND_cost_func_rel_inc,8.0,20.50564432144165,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
